"CUSTOMER_STATE","SELLER_STATE","CUSTOMER_STATE_LAT","CUSTOMER_STATE_LNG","SELLER_STATE_LAT","SELLER_STATE_LNG","TOTAL_FREIGHT_VALUE"
GO,MT,-16.544386780171276,-49.27402937998611,-14.24217021245117,-55.43095256054814,302.27
GO,PB,-16.544386780171276,-49.27402937998611,-7.053690918143463,-36.18945874369153,99.18
GO,PE,-16.544386780171276,-49.27402937998611,-8.252919762977053,-35.94553525314061,519.29
GO,PR,-16.544386780171276,-49.27402937998611,-24.51761690736683,-51.13921446386092,3704.3
GO,RJ,-16.544386780171276,-49.27402937998611,-22.62313258857956,-43.189515153563526,3726.17
GO,RS,-16.544386780171276,-49.27402937998611,-29.405371844827677,-51.99545799943851,1137.61
GO,SC,-16.544386780171276,-49.27402937998611,-27.233756086210168,-49.96532630581995,3696.78
GO,SE,-16.544386780171276,-49.27402937998611,-10.760415681767354,-37.20220554149861,36.33
GO,SP,-16.544386780171276,-49.27402937998611,-23.191158107928256,-47.05378549380357,57265.38
MA,AM,-3.9751512906138347,-44.82710896397979,-3.4629611582302386,-61.351585225624326,21.25
MA,BA,-3.9751512906138347,-44.82710896397979,-12.989871851119448,-39.615591300124855,562.58
MA,CE,-3.9751512906138347,-44.82710896397979,-4.628164063264693,-39.12452010467055,123.11
MA,DF,-3.9751512906138347,-44.82710896397979,-15.790607098465964,-48.041233449700464,580.27
MA,ES,-3.9751512906138347,-44.82710896397979,-19.90141177780134,-40.691985842305776,51.88
MA,GO,-3.9751512906138347,-44.82710896397979,-16.544386780171276,-49.27402937998611,853.93
MA,MA,-3.9751512906138347,-44.82710896397979,-3.9751512906138347,-44.82710896397979,196.34
MA,MG,-3.9751512906138347,-44.82710896397979,-19.768131943331838,-44.25358623321739,5166.2
MA,MT,-3.9751512906138347,-44.82710896397979,-14.24217021245117,-55.43095256054814,115.56
MA,PB,-3.9751512906138347,-44.82710896397979,-7.053690918143463,-36.18945874369153,17.48
MA,PE,-3.9751512906138347,-44.82710896397979,-8.252919762977053,-35.94553525314061,120.96
MA,PI,-3.9751512906138347,-44.82710896397979,-6.118307834918054,-42.45894693466691,35.76
MA,PR,-3.9751512906138347,-44.82710896397979,-24.51761690736683,-51.13921446386092,2443.4
MA,RJ,-3.9751512906138347,-44.82710896397979,-22.62313258857956,-43.189515153563526,1167.36
MA,RS,-3.9751512906138347,-44.82710896397979,-29.405371844827677,-51.99545799943851,739.43
MA,SC,-3.9751512906138347,-44.82710896397979,-27.233756086210168,-49.96532630581995,1444.99
MA,SP,-3.9751512906138347,-44.82710896397979,-23.191158107928256,-47.05378549380357,28151.57
MG,AM,-19.768131943331838,-44.25358623321739,-3.4629611582302386,-61.351585225624326,25.29
MG,BA,-19.768131943331838,-44.25358623321739,-12.989871851119448,-39.615591300124855,2032.93
MG,CE,-19.768131943331838,-44.25358623321739,-4.628164063264693,-39.12452010467055,166.82
MG,DF,-19.768131943331838,-44.25358623321739,-15.790607098465964,-48.041233449700464,2251.78
MG,ES,-19.768131943331838,-44.25358623321739,-19.90141177780134,-40.691985842305776,2353.7
MG,GO,-19.768131943331838,-44.25358623321739,-16.544386780171276,-49.27402937998611,2829.36
MG,MA,-19.768131943331838,-44.25358623321739,-3.9751512906138347,-44.82710896397979,1197.35
MG,MG,-19.768131943331838,-44.25358623321739,-19.768131943331838,-44.25358623321739,35424.04
MG,MS,-19.768131943331838,-44.25358623321739,-21.033754693811588,-54.58754251592346,99.38
MG,MT,-19.768131943331838,-44.25358623321739,-14.24217021245117,-55.43095256054814,710.53
MG,PA,-19.768131943331838,-44.25358623321739,-2.5514788152098298,-49.34759080910092,18.54
MG,PB,-19.768131943331838,-44.25358623321739,-7.053690918143463,-36.18945874369153,68.88
MG,PE,-19.768131943331838,-44.25358623321739,-8.252919762977053,-35.94553525314061,3035.35
MG,PI,-19.768131943331838,-44.25358623321739,-6.118307834918054,-42.45894693466691,79.32
MG,PR,-19.768131943331838,-44.25358623321739,-24.51761690736683,-51.13921446386092,27547.2
MG,RJ,-19.768131943331838,-44.25358623321739,-22.62313258857956,-43.189515153563526,13998.44
MG,RN,-19.768131943331838,-44.25358623321739,-5.864841623635242,-36.236780659852265,18.28
MG,RS,-19.768131943331838,-44.25358623321739,-29.405371844827677,-51.99545799943851,9253.18
MG,SC,-19.768131943331838,-44.25358623321739,-27.233756086210168,-49.96532630581995,17318.89
